 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
927,340,255,255,255,0.903,1.010,0.990,0.938
928,307,255,255,255,0.920,1.188,0.842,0.939
929,450,255,255,255,0.755,1.707,0.586,0.921
930,371,255,255,255,0.781,1.429,0.700,0.909
931,263,255,255,255,0.645,1.227,0.815,0.680
932,237,255,255,255,0.534,1.310,0.763,0.571
933,343,255,255,255,0.855,1.113,0.899,0.910
934,362,255,255,255,0.902,1.167,0.857,0.951
935,421,255,255,255,0.774,1.625,0.615,0.873
936,270,255,255,255,0.963,1.084,0.923,0.946
937,178,255,255,255,0.736,1.189,0.841,0.739
938,445,255,255,255,0.923,1.217,0.822,0.954
939,291,255,255,255,0.928,1.187,0.842,0.940
940,287,255,255,255,0.951,1.116,0.896,0.943
941,167,255,255,255,0.811,1.372,0.729,0.825
942,249,255,255,255,0.513,1.383,0.723,0.594
943,175,255,255,255,0.780,1.429,0.700,0.818
944,327,255,255,255,0.884,1.211,0.826,0.940
945,330,255,255,255,0.954,1.166,0.857,0.958
946,299,255,255,255,0.919,1.302,0.768,0.943
947,439,255,255,255,0.778,1.334,0.750,0.905
948,497,255,255,255,0.883,1.136,0.880,0.944
949,153,255,255,255,0.617,1.521,0.657,0.652
950,454,255,255,255,0.922,1.061,0.943,0.948
951,453,255,255,255,0.857,1.283,0.780,0.933
952,335,255,255,255,0.849,1.461,0.684,0.934
953,483,255,255,255,0.805,1.234,0.810,0.930
954,308,255,255,255,0.923,1.280,0.781,0.942
955,416,255,255,255,0.944,1.187,0.842,0.953
956,345,255,255,255,0.808,1.423,0.703,0.919
957,267,255,255,255,0.891,1.240,0.806,0.929
958,434,255,255,255,0.934,1.090,0.918,0.952
959,382,255,255,255,0.943,1.118,0.894,0.956
960,474,255,255,255,0.897,1.192,0.839,0.945
961,328,255,255,255,0.951,1.035,0.966,0.937
962,391,255,255,255,0.937,1.236,0.809,0.952
963,306,255,255,255,0.900,1.243,0.805,0.934
964,434,255,255,255,0.920,1.049,0.953,0.948
965,280,255,255,255,0.910,1.072,0.933,0.936
966,428,255,255,255,0.921,1.183,0.845,0.950
967,309,255,255,255,0.943,1.119,0.894,0.944
968,295,255,255,255,0.846,1.647,0.607,0.928
969,264,255,255,255,0.590,1.144,0.874,0.635
970,313,255,255,255,0.921,1.254,0.797,0.947
971,300,255,255,255,0.889,1.261,0.793,0.943
972,335,255,255,255,0.893,1.218,0.821,0.932
973,404,255,255,255,0.911,1.134,0.882,0.940
974,368,255,255,255,0.843,1.394,0.717,0.929
975,328,255,255,255,0.896,1.281,0.781,0.940
976,312,255,255,255,0.879,1.357,0.737,0.945
977,334,255,255,255,0.887,1.294,0.773,0.940
978,314,255,255,255,0.958,1.111,0.900,0.950
979,312,255,255,255,0.889,1.230,0.813,0.927
980,327,255,255,255,0.884,1.324,0.755,0.932
981,307,255,255,255,0.936,1.118,0.894,0.942
982,375,255,255,255,0.768,1.473,0.679,0.892
983,383,255,255,255,0.814,1.103,0.907,0.905
984,384,255,255,255,0.926,1.204,0.831,0.947
985,365,255,255,255,0.823,1.605,0.623,0.934
986,404,255,255,255,0.803,1.582,0.632,0.919
987,444,255,255,255,0.935,1.181,0.846,0.952
988,354,255,255,255,0.862,1.276,0.784,0.930
989,334,255,255,255,0.935,1.056,0.947,0.944
990,410,255,255,255,0.827,1.089,0.918,0.930
991,306,255,255,255,0.917,1.374,0.728,0.946
992,353,255,255,255,0.761,1.177,0.850,0.889
993,355,255,255,255,0.915,1.173,0.853,0.937
994,446,255,255,255,0.906,1.273,0.785,0.944
995,340,255,255,255,0.847,1.049,0.954,0.930
996,411,255,255,255,0.879,1.302,0.768,0.935
997,432,255,255,255,0.935,1.106,0.904,0.955
998,329,255,255,255,0.961,1.137,0.880,0.949
999,108,255,255,255,0.544,1.803,0.555,0.800
1000,334,255,255,255,0.935,1.126,0.888,0.942
1001,386,255,255,255,0.931,1.160,0.862,0.954
1002,371,255,255,255,0.818,1.175,0.851,0.919
1003,340,255,255,255,0.935,1.241,0.806,0.950
1004,395,255,255,255,0.916,1.053,0.949,0.945
1005,365,255,255,255,0.836,1.316,0.760,0.915
1006,287,255,255,255,0.933,1.175,0.851,0.939
1007,463,255,255,255,0.899,1.157,0.864,0.948
1008,351,255,255,255,0.920,1.279,0.782,0.944
1009,337,255,255,255,0.880,1.551,0.645,0.948
1010,425,255,255,255,0.934,1.128,0.887,0.952
1011,450,255,255,255,0.786,1.568,0.638,0.927
1012,361,255,255,255,0.877,1.114,0.898,0.940
1013,476,255,255,255,0.906,1.242,0.805,0.950
1014,346,255,255,255,0.958,1.031,0.970,0.956
1015,360,255,255,255,0.726,1.475,0.678,0.893
1016,361,255,255,255,0.921,1.116,0.896,0.948
1017,343,255,255,255,0.927,1.198,0.835,0.944
1018,311,255,255,255,0.892,1.318,0.759,0.933
1019,414,255,255,255,0.931,1.252,0.799,0.959
1020,365,255,255,255,0.863,1.158,0.864,0.919
1021,483,255,255,255,0.821,1.264,0.791,0.910
1022,398,255,255,255,0.917,1.046,0.956,0.942
1023,397,255,255,255,0.881,1.158,0.864,0.923
1024,462,255,255,255,0.924,1.217,0.821,0.952
1025,455,255,255,255,0.820,1.425,0.702,0.927
1026,372,255,255,255,0.906,1.322,0.756,0.938
1027,334,255,255,255,0.873,1.203,0.832,0.950
1028,330,255,255,255,0.930,1.284,0.779,0.948
1029,390,255,255,255,0.787,1.597,0.626,0.897
1030,351,255,255,255,0.926,1.247,0.802,0.941
1031,390,255,255,255,0.899,1.179,0.848,0.934
1032,420,255,255,255,0.811,1.512,0.662,0.924
1033,387,255,255,255,0.890,1.207,0.828,0.942
1034,477,255,255,255,0.902,1.050,0.953,0.941
1035,336,255,255,255,0.826,1.271,0.787,0.918
1036,337,255,255,255,0.815,1.791,0.558,0.923
1037,315,255,255,255,0.894,1.398,0.715,0.946
1038,336,255,255,255,0.908,1.303,0.768,0.941
1039,440,255,255,255,0.926,1.182,0.846,0.948
1040,335,255,255,255,0.755,1.501,0.666,0.883
1041,343,255,255,255,0.867,1.394,0.718,0.933
1042,415,255,255,255,0.732,1.164,0.859,0.759
1043,467,255,255,255,0.907,1.293,0.773,0.951
1044,410,255,255,255,0.833,1.203,0.831,0.930
1045,429,255,255,255,0.903,1.245,0.803,0.947
1046,374,255,255,255,0.873,1.198,0.835,0.947
1047,447,255,255,255,0.913,1.105,0.905,0.945
1048,350,255,255,255,0.893,1.256,0.796,0.938
1049,398,255,255,255,0.917,1.070,0.935,0.943
